Película;Año;Imdb Score
Burn After Reading;2008;7,0
John Q;2002;7,0
Scrooged;1988;7,0
The SpongeBob SquarePants Movie;2004;7,0
The Cabin in the Woods;2012;7,0
One True Thing;1998;7,0
Wicker Park;2004;7,0
Miss Potter;2006;7,0
Kundun;1997;7,0
Cloverfield;2008;7,0
The Conspirator;2010;7,0
The Rookie;2002;7,0
Underworld;2003;7,0
Wayne's World;1992;7,0
Wicker Park;2004;7,0
Orphan;2009;7,0
Ladyhawke;1985;7,0
Sweet Charity;1969;7,0
A Most Violent Year;2014;7,0
Flash of Genius;2008;7,0
I'm Not There.;2007;7,0
Ramanujan;2014;7,0
The Bounty;1984;7,0
Austin Powers: International Man of Mystery;1997;7,0
The Last Station;2009;7,0
The Thirteenth Floor;1999;7,0
Trance;2013;7,0
Black Snake Moan;2006;7,0
Felicia's Journey;1999;7,0
Time Bandits;1981;7,0
Stir of Echoes;1999;7,0
The Boys from Brazil;1978;7,0
Girl with a Pearl Earring;2003;7,0
Cadillac Records;2008;7,0
Last Orders;2001;7,0
The Host;2006;7,0
The Color of Money;1986;7,0
Happy Gilmore;1996;7,0
End of the Spear;2005;7,0
I Am Love;2009;7,0
Welcome to the Rileys;2010;7,0
Partition;2007;7,0
Thunderball;1965;7,0
The Contender;2000;7,0
Boiler Room;2000;7,0
Igby Goes Down;2002;7,0
Velvet Goldmine;1998;7,0
Bright Star;2009;7,0
Syriana;2005;7,0
Bon Cop Bad Cop;2006;7,0
The Neon Demon;2016;7,0
A Serious Man;2009;7,0
Les visiteurs;1993;7,0
The Chumscrubber;2005;7,0
Pollock;2000;7,0
Little Voice;1998;7,0
The Wackness;2008;7,0
The Great Train Robbery;1979;7,0
UHF;1989;7,0
Grandma's Boy;2006;7,0
Zero Effect;1998;7,0
The Cooler;2003;7,0
Poolhall Junkies;2002;7,0
Annie Get Your Gun;1950;7,0
Harper;1966;7,0
Trollhunter;2010;7,0
Time to Choose;2015;7,0
Real Women Have Curves;2002;7,0
The Dress;1996;7,0
A Guy Named Joe;1943;7,0
Jesus' Son;1999;7,0
Show Boat;1951;7,0
Courageous;2011;7,0
Alexander's Ragtime Band;1938;7,0
Harsh Times;2005;7,0
House of D;2004;7,0
A Funny Thing Happened on the Way to the Forum;1966;7,0
Buried;2010;7,0
Hang 'Em High;1968;7,0
Kids;1995;7,0
The Amazing Catfish;2013;7,0
Dracula: Pages from a Virgin's Diary;2002;7,0
Hellraiser;1987;7,0
Departure;2015;7,0
The Broken Hearts Club: A Romantic Comedy;2000;7,0
Dream with the Fishes;1997;7,0
Karachi se Lahore;2015;7,0
Trance;2013;7,0
London to Brighton;2006;7,0
Crop Circles: Quest for Truth;2002;7,0
Faith Connections;2013;7,0
Trekkies;1997;7,0
I Married a Strange Person!;1997;7,0
Urbania;2000;7,0
Mad Max;1979;7,0
Another Earth;2011;7,0
Perfect Cowboy;2014;7,0
Antarctic Edge: 70° South;2015;7,0
A Dog's Breakfast;2007;7,0
A Dog's Breakfast;2007;7,0
Hollywood Shuffle;1987;7,0
The Lost Skeleton of Cadavra;2001;7,0
Manito;2002;7,0
The Hunchback of Notre Dame;1996;6,9
National Treasure;2004;6,9
Green Zone;2010;6,9
Conan the Barbarian;1982;6,9
The Holiday;2006;6,9
Creepshow;1982;6,9
The Edge;1997;6,9
Vanilla Sky;2001;6,9
Oliver Twist;2005;6,9
Clear and Present Danger;1994;6,9
The Last Castle;2001;6,9
Elizabeth: The Golden Age;2007;6,9
Robin Hood: Prince of Thieves;1991;6,9
Patriot Games;1992;6,9
A Knight's Tale;2001;6,9
Extremely Loud & Incredibly Close;2011;6,9
The Hunting Party;2007;6,9
Water for Elephants;2011;6,9
Breakdown;1997;6,9
Radio;2003;6,9
A Good Year;2006;6,9
Radio Flyer;1992;6,9
Elf;2003;6,9
Dreamer: Inspired by a True Story;2005;6,9
Cats Don't Dance;1997;6,9
Cradle Will Rock;1999;6,9
Hearts in Atlantis;2001;6,9
Get Shorty;1995;6,9
Four Brothers;2005;6,9
Little Shop of Horrors;1986;6,9
Gridiron Gang;2006;6,9
Mumford;1999;6,9
Serendipity;2001;6,9
Rob Roy;1995;6,9
Anonymous;2011;6,9
The Duchess;2008;6,9
Mrs. Doubtfire;1993;6,9
Kingpin;1996;6,9
He Got Game;1998;6,9
Return to Me;2000;6,9
Bodyguards and Assassins;2009;6,9
Conan the Barbarian;1982;6,9
Simon Birch;1998;6,9
Bon voyage;2003;6,9
Steamboy;2004;6,9
Veronica Guerin;2003;6,9
Cop Land;1997;6,9
The Importance of Being Earnest;2002;6,9
Buffalo Soldiers;2001;6,9
Cool Runnings;1993;6,9
Tea with Mussolini;1999;6,9
Crooklyn;1994;6,9
Reign of Assassins;2010;6,9
The Emperor's Club;2002;6,9
The Upside of Anger;2005;6,9
History of the World: Part I;1981;6,9
The Molly Maguires;1970;6,9
An Ideal Husband;1999;6,9
Stripes;1981;6,9
Bill & Ted's Excellent Adventure;1989;6,9
The Last Dragon;1985;6,9
World's Greatest Dad;2009;6,9
Fifty Dead Men Walking;2008;6,9
Of Horses and Men;2013;6,9
You Only Live Twice;1967;6,9
Jab Tak Hai Jaan;2012;6,9
The Rose;1979;6,9
Yeh Jawaani Hai Deewani;2013;6,9
Creepshow;1982;6,9
Shadow of the Vampire;2000;6,9
When Did You Last See Your Father?;2007;6,9
Wild Target;2010;6,9
Soul Food;1997;6,9
The Work and the Glory;2004;6,9
Alias Betty;2001;6,9
The Devil's Rejects;2005;6,9
Wah-Wah;2005;6,9
The Wood;1999;6,9
Duel in the Sun;1946;6,9
Sunshine State;2002;6,9
Sunshine Cleaning;2008;6,9
Saved!;2004;6,9
Sea Rex 3D: Journey to a Prehistoric World;2010;6,9
Mirrormask;2005;6,9
The Good Heart;2009;6,9
The History Boys;2006;6,9
Woman Thou Art Loosed;2004;6,9
East Is East;1999;6,9
Basquiat;1996;6,9
Freeway;1996;6,9
Donovan's Reef;1963;6,9
That Thing You Do!;1996;6,9
8 Days;2014;6,9
It Follows;2014;6,9
The Diary of a Teenage Girl;2015;6,9
Repo Man;1984;6,9
Snow Angels;2007;6,9
House at the End of the Drive;2014;6,9
Faith Like Potatoes;2006;6,9
Martha Marcy May Marlene;2011;6,9
History of the World: Part I;1981;6,9
All the Real Girls;2003;6,9
The Last Big Thing;1996;6,9
Special;2006;6,9
Crying with Laughter;2009;6,9
Aqua Teen Hunger Force Colon Movie Film for Theaters;2007;6,9
The King of Najayo;2012;6,9
Napoleon Dynamite;2004;6,9
The Beyond;1981;6,9
My Beautiful Laundrette;1985;6,9
My Dog Tulip;2009;6,9
When the Cat's Away;1996;6,9
Lovely & Amazing;2001;6,9
On the Outs;2004;6,9
Jesus People;2007;6,9
The Business of Fancydancing;2002;6,9
Mutual Appreciation;2005;6,9
Flywheel;2003;6,9
El Mariachi;1992;6,9
Spectre;2015;6,8
TRON: Legacy;2010;6,8
Where the Wild Things Are;2009;6,8
Surf's Up;2007;6,8
Atlantis: The Lost Empire;2001;6,8
Bicentennial Man;1999;6,8
Over the Hedge;2006;6,8
Con Air;1997;6,8
The American President;1995;6,8
Any Given Sunday;1999;6,8
The Ghost and the Darkness;1996;6,8
Superman II;1980;6,8
Panic Room;2002;6,8
The Thomas Crown Affair;1999;6,8
Liar Liar;1997;6,8
From Hell;2001;6,8
The Hitchhiker's Guide to the Galaxy;2005;6,8
The Pledge;2001;6,8
Heaven's Gate;1980;6,8
Underworld: Evolution;2006;6,8
The Firm;1993;6,8
The Lake House;2006;6,8
Pandorum;2009;6,8
A Monster in Paris;2011;6,8
Snow Falling on Cedars;1999;6,8
From Hell;2001;6,8
The Nativity Story;2006;6,8
The Shipping News;2001;6,8
Ride with the Devil;1999;6,8
Bringing Out the Dead;1999;6,8
The Addams Family;1991;6,8
Bulworth;1998;6,8
Machine Gun Preacher;2011;6,8
For Your Eyes Only;1981;6,8
Rendition;2007;6,8
Martian Child;2007;6,8
The Curse of the Jade Scorpion;2001;6,8
Don Juan DeMarco;1994;6,8
Cirque du Soleil: Worlds Away;2012;6,8
Me and Orson Welles;2008;6,8
The Naked Gun 2½: The Smell of Fear;1991;6,8
1408;2007;6,8
The Transporter;2002;6,8
eXistenZ;1999;6,8
Street Kings;2008;6,8
Quigley Down Under;1990;6,8
To Die For;1995;6,8
Appaloosa;2008;6,8
Everyone Says I Love You;1996;6,8
Sea of Love;1989;6,8
The Fog;1980;6,8
Young Sherlock Holmes;1985;6,8
TRON: Legacy;2010;6,8
55 Days at Peking;1963;6,8
Detroit Rock City;1999;6,8
The Yellow Handkerchief;2008;6,8
Things to Do in Denver When You're Dead;1995;6,8
Mr. Turner;2014;6,8
Miracles from Heaven;2016;6,8
Young Guns;1988;6,8
Resurrecting the Champ;2007;6,8
Operation Chromite;2016;6,8
Beavis and Butt-Head Do America;1996;6,8
One Hour Photo;2002;6,8
Stoker;2013;6,8
Ondine;2009;6,8
Cypher;2002;6,8
Quartet;2012;6,8
Copying Beethoven;2006;6,8
A Prairie Home Companion;2006;6,8
The Matador;2005;6,8
Body Double;1984;6,8
Spider;2002;6,8
The Chambermaid on the Titanic;1997;6,8
Set It Off;1996;6,8
On Her Majesty's Secret Service;1969;6,8
Prefontaine;1997;6,8
Fido;2006;6,8
Swimming Pool;2003;6,8
Live and Let Die;1973;6,8
Logan's Run;1976;6,8
The Man with the Golden Gun;1974;6,8
Flirting with Disaster;1996;6,8
Redbelt;2008;6,8
La Bamba;1987;6,8
A Home at the End of the World;2004;6,8
Sliding Doors;1998;6,8
Bernie;2011;6,8
The Robe;1953;6,8
Bottle Shock;2008;6,8
Light Sleeper;1992;6,8
Capricorn One;1977;6,8
Tristram Shandy: A Cock and Bull Story;2005;6,8
Driving Lessons;2006;6,8
Trapeze;1956;6,8
Major Dundee;1965;6,8
Defendor;2009;6,8
The Witch;2015;6,8
La otra conquista;1998;6,8
Sinister;2012;6,8
Family Plot;1976;6,8
High Tension;2003;6,8
Get on the Bus;1996;6,8
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask;1972;6,8
Thirteen;2003;6,8
Inside Deep Throat;2005;6,8
Eden Lake;2008;6,8
El crimen del padre Amaro;2002;6,8
My Summer of Love;2004;6,8
Bloodsport;1988;6,8
Insidious;2010;6,8
Housebound;2014;6,8
Wal-Mart: The High Cost of Low Price;2005;6,8
Fetching Cody;2005;6,8
The Fog;1980;6,8
Tom Jones;1963;6,8
October Baby;2011;6,8
Obvious Child;2014;6,8
Walking and Talking;1996;6,8
A Lego Brickumentary;2014;6,8
The Perfect Host;2010;6,8
Saints and Soldiers;2003;6,8
Sholem Aleichem: Laughing in the Darkness;2011;6,8
Born to Fly: Elizabeth Streb vs. Gravity;2014;6,8
Mutual Friends;2013;6,8
The Motel;2005;6,8
3;2010;6,8
Solitude;2014;6,8
Cheap Thrills;2013;6,8
The Night Visitor;1971;6,8
Tiger Orange;2014;6,8
Quantum of Solace;2008;6,7
Robin Hood;2010;6,7
Charlie and the Chocolate Factory;2005;6,7
Flushed Away;2006;6,7
Puss in Boots;2011;6,7
The Chronicles of Riddick;2004;6,7
K-19: The Widowmaker;2002;6,7
The Rundown;2003;6,7
RED 2;2013;6,7
Something's Gotta Give;2003;6,7
Conspiracy Theory;1997;6,7
Hidalgo;2004;6,7
Hairspray;2007;6,7
Anna and the King;1999;6,7
Escape Plan;2013;6,7
Primary Colors;1998;6,7
The Long Kiss Goodnight;1996;6,7
The Family Man;2000;6,7
Sinbad: Legend of the Seven Seas;2003;6,7
Event Horizon;1997;6,7
The Great Raid;2005;6,7
Just Like Heaven;2005;6,7
The Pirates! Band of Misfits;2012;6,7
Blade II;2002;6,7
Stepmom;1998;6,7
Unfaithful;2002;6,7
Absolute Power;1997;6,7
Free State of Jones;2016;6,7
The Bone Collector;1999;6,7
The Client;1994;6,7
The Living Daylights;1987;6,7
The Other Boleyn Girl;2008;6,7
Sweet November;2001;6,7
The Ninth Gate;1999;6,7
Ghosts of Mississippi;1996;6,7
Lethal Weapon 3;1992;6,7
Walk Hard: The Dewey Cox Story;2007;6,7
Analyze This;1999;6,7
Take the Lead;2006;6,7
Ripley's Game;2002;6,7
Taking Woodstock;2009;6,7
Hocus Pocus;1993;6,7
Return to Oz;1985;6,7
Money Monster;2016;6,7
Bridget Jones's Diary;2001;6,7
Nothing to Lose;1997;6,7
The Hoax;2006;6,7
Bad Lieutenant: Port of Call New Orleans;2009;6,7
Beyond the Sea;2004;6,7
Final Destination;2000;6,7
Marvin's Room;1996;6,7
Coco Before Chanel;2009;6,7
I Heart Huckabees;2004;6,7
Moonlight Mile;2002;6,7
Selena;1997;6,7
Paint Your Wagon;1969;6,7
Ghost Town;2008;6,7
The Oogieloves in the Big Balloon Adventure;2012;6,7
Shattered;2007;6,7
The Fall of the Roman Empire;1964;6,7
The Exorcism of Emily Rose;2005;6,7
Under the Tuscan Sun;2003;6,7
Small Time Crooks;2000;6,7
Center Stage;2000;6,7
Dragonslayer;1981;6,7
Midnight Special;2016;6,7
Renaissance;2006;6,7
Smokin' Aces;2006;6,7
Brooklyn's Finest;2009;6,7
Bobby Jones: Stroke of Genius;2004;6,7
The White Countess;2005;6,7
When the Game Stands Tall;2014;6,7
Ramona and Beezus;2010;6,7
Confidence;2003;6,7
A Mighty Heart;2007;6,7
Transsiberian;2008;6,7
White Fang;1991;6,7
Catch a Fire;2006;6,7
Easy Virtue;2008;6,7
Serial Mom;1994;6,7
The Call;2013;6,7
Oscar and Lucinda;1997;6,7
Tales from the Crypt: Demon Knight;1995;6,7
Rachel Getting Married;2008;6,7
Commando;1985;6,7
Kit Kittredge: An American Girl;2008;6,7
Seeking a Friend for the End of the World;2012;6,7
Bad Words;2013;6,7
Blood Done Sign My Name;2010;6,7
Eulogy;2004;6,7
The Lost City;2005;6,7
Heavy Metal;1981;6,7
The Best Man;1999;6,7
The Way of the Gun;2000;6,7
Shipwrecked;1990;6,7
Repo! The Genetic Opera;2008;6,7
Half Baked;1998;6,7
Rumble in the Bronx;1995;6,7
Albert Nobbs;2011;6,7
Diamonds Are Forever;1971;6,7
The Heart of Me;2002;6,7
Hard to Be a God;2013;6,7
Only the Strong;1993;6,7
Morvern Callar;2002;6,7
The Greatest;2009;6,7
Bend It Like Beckham;2002;6,7
Mambo Italiano;2003;6,7
Mommie Dearest;1981;6,7
Henry & Me;2014;6,7
Should've Been Romeo;2012;6,7
Lady in White;1988;6,7
Police Academy;1984;6,7
Silent Movie;1976;6,7
Easy Money;2010;6,7
The Greatest Show on Earth;1952;6,7
The Rules of Attraction;2002;6,7
Four Rooms;1995;6,7
High Anxiety;1977;6,7
The Dead Girl;2006;6,7
Torn Curtain;1966;6,7
Just Looking;1999;6,7
Kevin Hart: Let Me Explain;2013;6,7
Brick Lane;2007;6,7
Sharkskin;2015;6,7
Six-String Samurai;1998;6,7
Kissing Jessica Stein;2001;6,7
The Ballad of Jack and Rose;2005;6,7
Mooz-Lum;2010;6,7
Pontypool;2008;6,7
Trucker;2008;6,7
The Holy Girl;2004;6,7
Silent Running;1972;6,7
Next Stop Wonderland;1998;6,7
Blue Car;2002;6,7
Loving Annabelle;2006;6,7
Elza;2011;6,7
Celeste & Jesse Forever;2012;6,7
Tumbleweeds;1999;6,7
Old Joy;2006;6,7
American Desi;2001;6,7
Theresa Is a Mother;2012;6,7
Sound of My Voice;2011;6,7
Facing the Giants;2006;6,7
The Dirties;2013;6,7
Pink Narcissus;1971;6,7
Tin Can Man;2007;6,7
John Carter;2012;6,6
Prince of Persia: The Sands of Time;2010;6,6
The Polar Express;2004;6,6
Armageddon;1998;6,6
Lethal Weapon 4;1998;6,6
Australia;2008;6,6
The 13th Warrior;1999;6,6
Rush Hour 2;2001;6,6
What Lies Beneath;2000;6,6
It's Complicated;2009;6,6
Monster House;2006;6,6
Bandits;2001;6,6
Hostage;2005;6,6
Titan A.E.;2000;6,6
Talladega Nights: The Ballad of Ricky Bobby;2006;6,6
Ransom;1996;6,6
Wyatt Earp;1994;6,6
U-571;2000;6,6
Antz;1998;6,6
Flyboys;2006;6,6
Shanghai Noon;2000;6,6
The Forbidden Kingdom;2008;6,6
Central Intelligence;2016;6,6
Curious George;2006;6,6
Silent Hill;2006;6,6
Courage Under Fire;1996;6,6
Dune;1984;6,6
16 Blocks;2006;6,6
The Mechanic;2011;6,6
Licence to Kill;1989;6,6
Vantage Point;2008;6,6
Secret Window;2004;6,6
The Odd Life of Timothy Green;2012;6,6
Star Trek: Generations;1994;6,6
White Squall;1996;6,6
Austin Powers: The Spy Who Shagged Me;1999;6,6
Underworld: Rise of the Lycans;2009;6,6
J. Edgar;2011;6,6
Blast from the Past;1999;6,6
Midnight in the Garden of Good and Evil;1997;6,6
Hoffa;1992;6,6
The Prince of Tides;1991;6,6
Black Rain;1989;6,6
Drag Me to Hell;2009;6,6
30 Days of Night;2007;6,6
The Running Man;1987;6,6
The Good Thief;2002;6,6
Octopussy;1983;6,6
Kiss the Girls;1997;6,6
The Magic Flute;2006;6,6
Flatliners;1990;6,6
Nanny McPhee;2005;6,6
Kiss of the Dragon;2001;6,6
EuroTrip;2004;6,6
Blindness;2008;6,6
Derailed;2005;6,6
Summer of Sam;1999;6,6
Copycat;1995;6,6
Home for the Holidays;1995;6,6
The Greatest Story Ever Told;1965;6,6
The Man Who Knew Too Little;1997;6,6
The Weather Man;2005;6,6
Star Trek III: The Search for Spock;1984;6,6
Diary of a Wimpy Kid: Rodrick Rules;2011;6,6
Dragon Hunters;2008;6,6
Arn: The Knight Templar;2007;6,6
Hollywood Ending;2002;6,6
Ararat;2002;6,6
Wasabi;2001;6,6
Bad Grandpa;2013;6,6
The Last House on the Left;2009;6,6
De-Lovely;2004;6,6
Dark Blue;2002;6,6
Promised Land;2012;6,6
Pandaemonium;2000;6,6
Jonah: A VeggieTales Movie;2002;6,6
A Walk on the Moon;1999;6,6
Attack the Block;2011;6,6
I Love You Phillip Morris;2009;6,6
The Funeral;1996;6,6
Yentl;1983;6,6
Living Out Loud;1998;6,6
The Postman Always Rings Twice;1981;6,6
Pet Sematary;1989;6,6
For Greater Glory: The True Story of Cristiada;2012;6,6
Black or White;2014;6,6
Romeo Is Bleeding;1993;6,6
The Swindle;1997;6,6
Rosewater;2014;6,6
Severance;2006;6,6
The Runaways;2010;6,6
The Legend of Suriyothai;2001;6,6
Opal Dream;2006;6,6
Clay Pigeons;1998;6,6
Dear Wendy;2004;6,6
Auto Focus;2002;6,6
The Work and the Glory II: American Zion;2005;6,6
The Flower of Evil;2003;6,6
[Rec] 2;2009;6,6
Wonderland;2003;6,6
Insidious: Chapter 2;2013;6,6
Saw II;2005;6,6
Jackass: The Movie;2002;6,6
A Nightmare on Elm Street 3: Dream Warriors;1987;6,6
The Egyptian;1954;6,6
My Big Fat Greek Wedding;2002;6,6
A Farewell to Arms;1932;6,6
Robin and Marian;1976;6,6
Slums of Beverly Hills;1998;6,6
Blackthorn;2011;6,6
Thumbsucker;2005;6,6
Shooting Fish;1997;6,6
Purple Violets;2007;6,6
Day One;2012;6,6
Class of 1984;1982;6,6
The Original Kings of Comedy;2000;6,6
Krush Groove;1985;6,6
Please Give;2010;6,6
DysFunktional Family;2003;6,6
Sardaar Ji;2015;6,6
Sur le seuil;2003;6,6
Valley of the Heart's Delight;2006;6,6
Idiocracy;2006;6,6
London;2005;6,6
Sherrybaby;2006;6,6
Coffee Town;2013;6,6
The Greatest Movie Ever Sold;2011;6,6
Incident at Loch Ness;2004;6,6
But I'm a Cheerleader;1999;6,6
Cotton Comes to Harlem;1970;6,6
The Howling;1981;6,6
Interview with the Assassin;2002;6,6
Broken Vessels;1998;6,6
Lonesome Jim;2005;6,6
Everything Put Together;2000;6,6
Enter Nowhere;2011;6,6
The Prophecy;1995;6,6
Fighting Tommy Riley;2004;6,6
The Looking Glass;2015;6,6
Chuck & Buck;2000;6,6
Horse Camp;2014;6,6
The Blood of My Brother;2005;6,6
The Last House on the Left;2009;6,6
The Brothers McMullen;1995;6,6
This Is Martin Bonner;2013;6,6
The Puffy Chair;2005;6,6
My Date with Drew;2004;6,6
Alice in Wonderland;2010;6,5
Monsters vs. Aliens;2009;6,5
War of the Worlds;2005;6,5
Tomorrow Never Dies;1997;6,5
Gone in Sixty Seconds;2000;6,5
Happy Feet;2006;6,5
Get Smart;2008;6,5
The Lost World: Jurassic Park;1997;6,5
Spanglish;2004;6,5
The Village;2004;6,5
You've Got Mail;1998;6,5
The Horse Whisperer;1998;6,5
Ladder 49;2004;6,5
A Civil Action;1998;6,5
Beyond Borders;2003;6,5
Instinct;1999;6,5
From Paris with Love;2010;6,5
The Replacements;2000;6,5
Out of Time;2003;6,5
For Love of the Game;1999;6,5
Hereafter;2010;6,5
Basic;2003;6,5
The International;2009;6,5
The Cotton Club;1984;6,5
Changing Lanes;2002;6,5
Big Trouble;2002;6,5
Here Comes the Boom;2012;6,5
The Mirror Has Two Faces;1996;6,5
The Mothman Prophecies;2002;6,5
The Skeleton Key;2005;6,5
Big Miracle;2012;6,5
Soul Men;2008;6,5
The Grandmaster;2013;6,5
City of Ember;2008;6,5
The Four Feathers;2002;6,5
The Punisher;2004;6,5
Extraordinary Measures;2010;6,5
Harlock: Space Pirate;2013;6,5
A Walk Among the Tombstones;2014;6,5
Red Eye;2005;6,5
Stop-Loss;2008;6,5
Where the Truth Lies;2005;6,5
Kung Fu Killer;2014;6,5
Homefront;2013;6,5
My Fellow Americans;1996;6,5
Wild Things;1998;6,5
Daybreakers;2009;6,5
Passchendaele;2008;6,5
The Crazies;2010;6,5
Sex Drive;2008;6,5
Youth in Revolt;2009;6,5
Hoodwinked!;2005;6,5
Evil Dead;2013;6,5
Fur: An Imaginary Portrait of Diane Arbus;2006;6,5
Road Trip;2000;6,5
Madison;2001;6,5
Slither;2006;6,5
Snitch;2013;6,5
Jakob the Liar;1999;6,5
Funny Games;2007;6,5
A Perfect Getaway;2009;6,5
Caravans;1978;6,5
Margaret;2011;6,5
Crazy/Beautiful;2001;6,5
The Claim;2000;6,5
Act of Valor;2012;6,5
Twilight Zone: The Movie;1983;6,5
Road House;1989;6,5
Can't Hardly Wait;1998;6,5
Mo' Better Blues;1990;6,5
Drop Dead Gorgeous;1999;6,5
Bamboozled;2000;6,5
The Joneses;2009;6,5
Elsa & Fred;2014;6,5
Gunless;2010;6,5
Child's Play;1988;6,5
The Purge: Anarchy;2014;6,5
PCU;1994;6,5
Veronika Decides to Die;2009;6,5
Crocodile Dundee;1986;6,5
Awake;2007;6,5
Brown Sugar;2002;6,5
The Inkwell;1994;6,5
Down in the Valley;2005;6,5
The Blood of Heroes;1989;6,5
The Claim;2000;6,5
The Other Side of Heaven;2001;6,5
The Mighty Macs;2009;6,5
Freeheld;2015;6,5
Dolphins and Whales 3D: Tribes of the Ocean;2008;6,5
Freaky Deaky;2012;6,5
The Awakening;2011;6,5
Life During Wartime;2009;6,5
Mean Machine;2001;6,5
Night Watch;2004;6,5
You Kill Me;2007;6,5
Stake Land;2010;6,5
Ira & Abby;2006;6,5
Choke;2008;6,5
Phantasm II;1988;6,5
Alice in Wonderland;2010;6,5
Boynton Beach Club;2005;6,5
Bathing Beauty;1944;6,5
Shortbus;2006;6,5
Meek's Cutoff;2010;6,5
Subway;1985;6,5
Killing Zoe;1993;6,5
Session 9;2001;6,5
Stolen Summer;2002;6,5
Batman: The Movie;1966;6,5
The Basket;1999;6,5
The Blue Bird;1940;6,5
Snitch;2013;6,5
Deterrence;1999;6,5
Naturally Native;1998;6,5
Hav Plenty;1997;6,5
The Kentucky Fried Movie;1977;6,5
Fireproof;2008;6,5
Groove;2000;6,5
Hurricane Streets;1997;6,5
The Living Wake;2007;6,5
The Incredibly True Adventure of Two Girls in Love;1995;6,5
Little Big Top;2006;6,5
She Done Him Wrong;1933;6,5
Middle of Nowhere;2012;6,5
Good Dick;2008;6,5
She's Gotta Have It;1986;6,5
The World Is Mine;2015;6,5
Down Terrace;2009;6,5
Shrek Forever After;2010;6,4
Alice Through the Looking Glass;2016;6,4
Final Fantasy: The Spirits Within;2001;6,4
The World Is Not Enough;1999;6,4
Salt;2010;6,4
Harry Potter and the Deathly Hallows: Part I;2010;6,4
The Perfect Storm;2000;6,4
Night at the Museum;2006;6,4
The Taking of Pelham 1 2 3;2009;6,4
The Interpreter;2005;6,4
Air Force One;1997;6,4
Charlotte's Web;2006;6,4
The Longest Yard;2005;6,4
Funny People;2009;6,4
Star Trek: Insurrection;1998;6,4
Underworld: Awakening;2012;6,4
The Sum of All Fears;2002;6,4
Space Cowboys;2000;6,4
Cliffhanger;1993;6,4
The Dictator;2012;6,4
Death Race;2008;6,4
The Scorch Trials;2015;6,4
Star Trek: Nemesis;2002;6,4
DragonHeart;1996;6,4
Bowfinger;1999;6,4
Death Becomes Her;1992;6,4
Executive Decision;1996;6,4
Alien 3;1992;6,4
Ninja Assassin;2009;6,4
Blood Work;2002;6,4
The Messenger: The Story of Joan of Arc;1999;6,4
Death to Smoochy;2002;6,4
Rat Race;2001;6,4
Kate & Leopold;2001;6,4
Riding in Cars with Boys;2001;6,4
Last Holiday;2006;6,4
Love in the Time of Cholera;2007;6,4
Double Jeopardy;1999;6,4
Get Him to the Greek;2010;6,4
Predators;2010;6,4
Marie Antoinette;2006;6,4
Grudge Match;2013;6,4
Dragon Nest: Warriors' Dawn;2014;6,4
Switchback;1997;6,4
Dolphin Tale 2;2014;6,4
Star Trek: The Motion Picture;1979;6,4
Flash Gordon;1980;6,4
Smilla's Sense of Snow;1997;6,4
Phenomenon;1996;6,4
The Number 23;2007;6,4
The Quick and the Dead;1995;6,4
Big Daddy;1999;6,4
Naked Gun 33 1/3: The Final Insult;1994;6,4
Fright Night;2011;6,4
The Last Stand;2013;6,4
Keeping the Faith;2000;6,4
Once Upon a Time in Mexico;2003;6,4
Flawless;1999;6,4
Mindhunters;2004;6,4
The Raven;2012;6,4
Brokedown Palace;1999;6,4
The Santa Clause;1994;6,4
Our Kind of Traitor;2016;6,4
Diary of a Wimpy Kid: Dog Days;2012;6,4
The Libertine;2004;6,4
Stick It;2006;6,4
Pooh's Heffalump Movie;2005;6,4
Be Kind Rewind;2008;6,4
Bandslam;2009;6,4
The Yards;2000;6,4
Rapa Nui;1994;6,4
The Frozen Ground;2013;6,4
Won't Back Down;2012;6,4
Anything Else;2003;6,4
The Hills Have Eyes;2006;6,4
Roar;1981;6,4
Baby Boy;2001;6,4
The Woman in Black;2012;6,4
The Faculty;1998;6,4
New York Stories;1989;6,4
The Assassin;2015;6,4
Centurion;2010;6,4
Dirty Work;1998;6,4
Womb;2010;6,4
Solitary Man;2009;6,4
Welcome to Collinwood;2002;6,4
The Life Before Her Eyes;2007;6,4
F.I.S.T.;1978;6,4
Jindabyne;2006;6,4
There Goes My Baby;1994;6,4
The Mighty Ducks;1992;6,4
Hamlet 2;2008;6,4
New Nightmare;1994;6,4
The City of Your Final Destination;2009;6,4
Brooklyn Rules;2007;6,4
10th & Wolf;2006;6,4
Shopgirl;2005;6,4
Outside Providence;1999;6,4
Factory Girl;2006;6,4
Shade;2003;6,4
Perrier's Bounty;2009;6,4
Van Wilder: Party Liaison;2002;6,4
The Business of Strangers;2001;6,4
Stiff Upper Lips;1998;6,4
Nighthawks;1981;6,4
Everything Must Go;2010;6,4
Mozart's Sister;2010;6,4
Winter Passing;2005;6,4
Dreaming of Joseph Lees;1999;6,4
Feast;2005;6,4
Freakonomics;2010;6,4
Clockwatchers;1997;6,4
Freeze Frame;2004;6,4
Northfork;2003;6,4
ABCD (Any Body Can Dance);2013;6,4
The House of the Devil;2009;6,4
The Quiet;2005;6,4
The Brass Teapot;2012;6,4
Dead Snow;2009;6,4
Julija in alfa Romeo;2015;6,4
The Singles Ward;2002;6,4
Monsters;2010;6,4
